S.No.,Project Name,Department,PI / Main Contact,Co-PI / Other Investigators,Funding Agency,From,To,Amount (Rs.),Status
60.,"Study on the design, manufacture, testing and performance requirements of copper alloy gate, globe and check valves for waterworks purposes",ME,"Dr. Raman bedi,",Dr. Saurabh Kango and Dr. Nitin Sharma,BIS,Oct-24,Apr-25,500000,Ongoing (Extension yet to be approveed by funding agency)
61.,Experimental and Numerical investigation of the flame deflector for conducting ground testing oif cluster nozzle semi cryo stages,ME,Dr. Dushyant Singh,Dr. Sourabh Kango and Dr. Ashok Kumar,ISRO and NIT-Kurukshetra,Jul-24,Jul-26,3192920,Ongoing
62.,"Development, Characterization and Analysis of Hybrid Chemomechanical Magnetorheological Abrasive Finishing for Biomedical Applications",ME,Dr. Harpreet Singh,-,DST-SERB-CRG,Jul-23,Jul-26,2868687,Ongoing
63.,Design and Development of the hybrid Microwave Assisted Casting Process for Stealth Applications,ME,Dr. Harpreet Singh,-,SPARC,Jul-23,Jul-26,3743650,Ongoing
64.,Design and Development of an electricity hybrid double sided incremental forming machine for efficient production of customized biomedical implants with improved surface finish and geometrical accuracy,ME,Dr. Parnika Shrivastava,-,SERB-DST,Jul-23,Jul-26,4356264,Ongoing
65.,Novel Cooling techniques for substrate exposed to very high temperature,ME,Dr. Dushyant Singh,-,SERB-DST-CRG,Feb-22,Aug-25,4715832,Ongoing
66.,"Investigation of magnetic structure of magnetic selenites M2Se2O7 (M: Fe, Mn, Co, Ni, etc.)",Physics,Dr Kiran Singh,,UGC DAE Consortium for Scientific Research Indore,Apr-25,Mar-28,,"Ongoing(Nil, only experimental facilities will be provided free of cost)"
67.,To Strengthen the research facilities in the department,Physcis,Dr. Kiran Singh,,FIST,Dec-24,Dec-29,22000000,Ongoing
68.,Exploring the EoS and Structure of Anisotropic compact stars with ∆ resonance matter,Physics,Dr. Arvind Kumar,,SERB-ANRF (CRG),Oct-24,Oct-27,2452692,Ongoing
69.,Probing the leading twist internal multidimensional Strucutre of pions and kaons - Anusandhan national Research Foundation (ANRF),Physics,Dr. Harleen Dahiya,-,SERB-POWER fellowship,Jun-24,Jun-27,3810000,Ongoing
70.,"Coherent radiation sources from nonlinear interaction of laser with clustered nano plasma ""Teachers Associateship for Research Excellence (TARE)",Physics,Dr. Arvinder Singh (Mentor),"Dr. Shivani Vij, DAV Institute of Engineering and Technology, kabir nagar, jalandhar",ANRF-SERB-TARE,May-24,May-27,1830000,Ongoing
71.,Structure and Dynamics of Strongly Correlated Quantum Fluids,Physics,Dr. Vinod Ashokan,,SERB DST,Mar-24,Mar-27,3354692,Ongoing
72.,Green-synthesized nanoparticles dispersed liquid crystals for display applications,Physics,"Dr. Supreet Kaur, Amity University, Gurugram",Dr. Praveen Malik (NITJ),DST-SERB,Oct-23,Oct-26,2418720,Ongoing
73.,Preparation And Studies Of Energy Efficient Semiconducting Quantum Dots-Liquid Crystal Composites For Next Generation Display Devices,Physics,Dr. Praveen Malik,-,DST-SERB-CRG,May-23,May-26,3641264,Ongoing
74.,Investigation of bipolar conductivity in strontium zincates,Physics,Dr. Abhinav Pratap Singh,,UGC-DAE Consortium for Scientific Research,2023,2026,135000,Ongoing
75.,Photo-Dielectric Effect in Liquid Crystals (PDELC),Physics,"Dr. Ravi Shukla (DIT, Dehradun)","Dr. Kiran Singh, NIT Jalandhar","UGC-DAE Consortium for Scientific Research, Indore",2023,2026,1500000,Ongoing
76.,"Investigation on the effect of substitution on the magnetic structure and spin-lattice coupling in A4B2O9 family (A=Mn, Co, Ni, Fe abd B=Nb and Ta)",Physics,Dr. Kiran Singh,-,"UGC-DAE Consortium for Scientific Research, Indore",Jun-22,Jun-25,135000,Ongoing
77.,"Investigating the effect of different substitutions on the magnetoelectric and spin-lattice coupling in alpha Mn2O3and A4B2O9(A=Ni,Co,Mn,Fe and B=Nb and Ta)",Physics,Dr. Kiran Singh,-,DST-SERB-CRG,Mar-22,Mar-25,4433264,Ongoing (Extension yet to be approveed by funding agency)
78.,Development and manufacture of Ultra High Molecular Weight Polyethylene (UHMWPE) nano-fabrics and its composite for reusable respiratory masks,TT,Prof. A Mukhopadhyay,Dr. Palaniswamy N.K. and Dr. N. Gobi,"NTTM, Ministry of Textile",Jun-23,Jun-25,5500000,Ongoing
79.,Runoff erosion control using jute and coir biaxial stitch bonded nonwoven geotextiles,TT,Prof. Vinay Midha,Prof. A Mukhopadhyay,"NTTM, Ministry of Textile",Oct-23,Oct-25,21578000,Ongoing
80.,Development of cost effective ballistic and stab resistance soft body armour by using different high performance materials,TT,Dr. Mukesh Bajya,"Dr. Lalit Jajpura, Dr. Z. B. Kamble & Dr. Anilkumar Lalchand Yadav","NTTM, Ministry of Textile",Oct-23,Oct-25,18845680,Ongoing
81.,Solution Blow Spinning (SBS) of micro/nanofibre fabrics for air filtration: A potential and scalable technique alternative to Electro spinning,TT,Dr. Palaniswamy NK,"Dr. N Gobi, Dr. Nikhil, Dr. Satyender Singh, Dr. Umashankar and Dr. Devasena","NTTM, Ministry of Textile",Oct-23,Oct-26,17850000,Ongoing
82.,Dr B R Ambedkar National Institute of Technology Jalandhar for textiles technology/ fibre science,TT,Dr. Vinay Midha,-,"NTTM, Ministry of Textile",Nov-23,Nov-25,100000000,Ongoing
83.,Development of open wave geosmashes using recycled wool for runoff erosion control,TT,Dr. Vinay Midha,Dr. A mukhopadhyay,Punjab State Council for Science and technology,2023,2025,500000,Ongoing
84.,Biopolymeric porous carriers through assembly of emulsion templating and microfluids for controlled delivery of drugs and therapeutics,Textile,Dr. AnilKumar Lalchand Yadav,-,SERB-DST,Jan-24,Jan-26,2467090,Ongoing
85.,Design and development of 3-dimentaional textile structures manufacturing system with novel shedding mechanism and multiple weft insertions,TT,Dr. Zunjarrao B Kamble,-,SERB,Feb-24,Feb-26,2681844,Ongoing
86.,Development of non-woven composite with metal-organic frameworks (MOFs) for efficient automotive cabin air filtration,TT,Dr. A. Mukhopadhyay,-,"NTTM, Ministry of Textile",Feb-24,Aug-26,10000000,Ongoing
87.,Design And Manufacturing Of Advanced And Multifunctional Textile Structural Composite Materials Using Textile Waste,TT,Dr Zunjarrao B Kamble,Dr Lalit Jajpura,"NTTM, Ministry of Textile",Apr-24,Dec-25,10590632,Ongoing
88.,Indigenously Developed Hybrid Nanocomposite Gel-spun and Electrospun based Fibers Made of Carbon Nanotubes (CNT) Filler Added Ultra High Molecular Weight Polyethylene (UHMWPE) for High – Velocity Fragmentation and Bullet Impacts,TT,"Dr. Jack J Kenned,NIT Puducherry","Dr. Mukesh Bajya NITJ,Dr. N M Sivaram NIT Puducherry","Armament Research Board (ARMREB), DRDO, Govt. of India",Jul-24,Jul-27,15193891 (68.8 Lac for NITJ),Ongoing
89.,Study of Constructional particulars and performance requirements for scoured cotton khadi Mazri,TT,Dr Lalit Jajpura,Dr Z B Kamble & Dr M Bajya,Bureau of Indian Standards (BIS),Dec 2024,Aug-25,751000,Ongoing
